drugbank_id,disease
DB00065,crohn’s disease
DB00066,primary ovarian failure
DB00066,spermatogenesis
DB00066,hypogonadotrophic hypogonadism
DB00067,polydipsia
DB00067,diabetes insipidus
DB00067,polyuria
DB00067,oesophageal varices
DB00067,enuresis
DB00067,bleeding
DB00068,multiple sclerosis
DB00069,"hairy cell leukemia, malignant melanoma"
DB00069,aids-related kaposi's sarcoma
DB00071,diabetes mellitus
DB00072,breast cancer
DB00073,non-hodgkins lymphoma
DB00073,rheumatoid arthritis
DB00073,chronic lymphocytic leukemia
DB00078,non-hodgkin's lymphoma
DB00080,skin and skin structure
DB00080,infections
DB00081,non-hodgkin's lymphoma
DB00082,acromegaly
DB00083,blepharospasm
DB00083,dystonia
DB00083,hyperhidrosis
DB00083,strabismus
DB00083,neck pain
DB00083,underarm sweating
DB00085,pancreatitis
DB00085,exocrine pancreatic insufficiency
DB00085,fibrosis
DB00086,myocardial infarction
DB00086,thrombosis
DB00086,pulmonary embolism
DB00086,occlusion of arteriovenous
DB00086,vein thrombosis
DB00087,chronic lymphocytic leukemia
DB00088,gaucher's disease
DB00089,intra-pelvic metastases
DB00089,prostate cancer
DB00090,mucopolysaccharidosis
DB00091,rheumatoid arthritis
DB00091,psoriasis
DB00092,psoriasis
DB00093,ischaemia
DB00094,infertility
DB00095,psoriasis
DB00097,infertility
DB00099,acute myeloid leukemia
DB00099,infection
DB00099,non-myeloid malignancies
DB00099,cancer
DB00099,neutropenia
DB00100,christmas disease
DB00100,hemophilia
DB00102,diabetes
DB00102,skin ulcers
DB00103,fabry's disease
DB00103,alpha-galactosidase a deficiency
DB00104,acromegaly
DB00104,cancer
DB00105,"hairy cell leukemia, malignant melanoma"
DB00105,aids-related kaposi's sarcoma
DB00106,prostate cancer
DB00107,uterine bleeding
DB00107,labor
DB00108,multiple sclerosis
DB00109,hiv-1/aids
DB00110,respiratory diseases
DB00110,respiratory syncytial virus
DB00112,colorectal cancer
DB00112,breast cancer
DB00113,colorectal tumors
DB00115,pernicious anemia
DB00117,rheumatoid arthritis
DB00117,uremia
DB00117,anemia
DB00118,depression
DB00118,fibromyalgia
DB00118,osteoarthritis
DB00118,liver disorders
DB00120,depression
DB00120,schizophrenic
DB00120,tardive dyskinesia
DB00120,vitiligo
DB00123,simplex
DB00126,scurvy
DB00130,sickle cell disease
DB00135,chronic fatigue
DB00135,narcolepsy
DB00136,familial hypophosphatemia
DB00136,chronic renal failure
DB00136,renal osteodystrophy
DB00136,osteoporosis
DB00136,rickets
DB00136,hypoparathyroidism
DB00136,hypocalcemia
DB00138,rheumatoid arthritis
DB00138,osteoarthritis
DB00140,ariboflavinosis
DB00141,osteoarthritis
DB00142,fatigue
DB00142,alcoholism
DB00142,ulcers
DB00142,schizophrenia
DB00144,cognitive impairment
DB00144,non-alzheimer's dementias
DB00144,alzheimer's disease
DB00144,age-associated memory impairment
DB00146,familial hypophosphatemia
DB00146,chronic renal failure
DB00146,renal osteodystrophy
DB00146,osteoporosis
DB00146,rickets
DB00146,hypoparathyroidism
DB00146,hypocalcemia
DB00149,trauma
DB00150,depression
DB00150,pain
DB00151,kidney damage
DB00151,liver damage
DB00152,delirium
DB00152,wernicke-korsakov syndrome
DB00152,peripheral neuritis
DB00153,familial hypophosphatemia
DB00153,acidosis
DB00153,nutritional rickets
DB00153,osteomalacia
DB00153,renal osteodystrophy
DB00153,fanconi syndrome
DB00153,osteoporosis
DB00153,hypophosphatemia
DB00153,rickets
DB00153,hypoparathyroidism
DB00153,hypocalcemia
DB00157,parkinson's disease
DB00157,fatigue syndrome
DB00157,alzheimer's disease
DB00157,cardiovascular disease
DB00158,anemias
DB00158,megaloblastic anemia
DB00159,diabetic nephropathy
DB00159,fibrosis
DB00161,phenylketonuria
DB00161,hepatic encephalopathy
DB00161,muscle coordination
DB00163,"alzheimer's, some eye disorders"
DB00163,muscle cramps
DB00163,diabetes
DB00163,premenstrual syndrome
DB00163,neurological diseases
DB00163,rheumatoid arthritis
DB00163,cancer
DB00163,cardiovascular disease
DB00163,cataracts
DB00165,isoniazid-induced
DB00165,peripheral neuropathy
DB00167,encephalopathy
DB00167,dyskinesia
DB00169,familial hypophosphatemia
DB00169,chronic renal failure
DB00169,renal osteodystrophy
DB00169,osteoporosis
DB00169,rickets
DB00169,hypoparathyroidism
DB00169,hypocalcemia
DB00175,hypercholesterolemia
DB00175,cardiovascular disease
DB00176,depression
DB00176,bulimia nervosa
DB00176,compulsive disorder
DB00176,ocd
DB00177,hypertension
DB00177,left ventricular hypertrophy
DB00177,myocardial infarction
DB00177,congestive heart failure
DB00177,diabetic nephropathy
DB00177,systolic dysfunction
DB00177,coronary artery disease
DB00178,hypertension
DB00178,nephropathy
DB00178,myocardial infarction
DB00178,congestive heart failure
DB00178,death
DB00178,stroke
DB00178,diabetes mellitus
DB00178,renal disease
DB00179,precancerous skin growths
DB00181,flexor spasms
DB00181,muscular rigidity
DB00181,multiple sclerosis
DB00181,pain
DB00181,spasticity
DB00182,narcolepsy
DB00182,addh
DB00182,deficit disorder
DB00182,obesity
DB00182,hyperactivity
DB00185,dry mouth
DB00185,sj&ouml;gren's syndrome
DB00186,anxiety disorders
DB00186,status epilepticus
DB00187,atrial flutter
DB00187,atrial fibrillation
DB00187,sinus tachycardia
DB00188,multiple myeloma
DB00189,insomnia
DB00190,paralysis agitans
DB00190,post-encephalitic parkinsonism
DB00190,idiopathic parkinson's disease
DB00191,obesity
DB00192,ventricular tachycardia
DB00192,dysrhythmias
DB00193,osteoarthritis
DB00193,cancer
DB00193,respiratory depression
DB00193,pain
DB00193,constipation
DB00193,acute musculosketetal pain
DB00194,herpes simplex
DB00194,chickenpox
DB00194,varicella
DB00194,herpes zoster
DB00195,hypertension
DB00196,fungal infections
DB00197,type ii diabetes mellitus
DB00198,acute illness
DB00198,infection
DB00199,corynebacterium
DB00199,nongonococcal urethritis
DB00199,respiratory tract infections
DB00199,pelvic inflammatory disease
DB00199,intestinal amebiasis
DB00199,infections
DB00199,cough
DB00199,syphilis
DB00199,chlamydia
DB00199,legionnaires' disease
DB00200,diarrhea
DB00200,alcoholism
DB00200,pernicious anemia
DB00200,hyperthyroidism
DB00200,"celiac,"
DB00200,tract disease
DB00200,malabsorption
DB00200,renal disease
DB00200,pancreatic cancer
DB00201,fatigue
DB00201,prematurity
DB00201,apnea
DB00201,orthostatic hypotension
DB00203,pulmonary arterial hypertension
DB00203,erectile dysfunction
DB00204,atrial fibrillation/atrial flutter
DB00205,toxoplasmosis
DB00205,malaria
DB00206,hypertension
DB00207,infections
DB00208,stroke
DB00208,thrombotic stroke
DB00209,detrusor instability
DB00209,urinary incontinence
DB00210,acne
DB00211,orthostatic hypotension
DB00212,hypertension
DB00212,heart failure
DB00213,esophagitis
DB00214,hypertension
DB00214,edema
DB00214,hepatic disease
DB00214,congestive heart failure
DB00214,renal disease
DB00215,depression
DB00215,diabetic neuropathy
DB00215,dementia-associated agitation
DB00215,obsessive-compulsive disorder
DB00215,nonpsychotic
DB00215,ocd
DB00216,migraine
DB00217,hypertension
DB00218,bacterial conjunctivitis
DB00218,pneumonia
DB00218,chronic bronchitis
DB00218,infections
DB00218,sinusitis
DB00218,sinus and lung infections
DB00219,spasms
DB00221,chronic asthmatic bronchitis
DB00221,wheezing
DB00222,diabetes mellitus
DB00224,hiv infection
DB00225,abnormal vascularity
DB00226,hypertension
DB00227,hypercholesterolemia
DB00227,coronary heart disease
DB00227,atherosclerosis
DB00227,dyslipidemia
DB00227,tg
DB00229,infections
DB00230,postherpetic neuralgia
DB00230,neuropathic pain
DB00230,diabetic peripheral neuropathy
DB00230,fibromyalgia
DB00230,cord injury
DB00231,insomnia
DB00232,hypertension
DB00232,edema
DB00232,hepatic cirrhosis
DB00232,congestive heart failure
DB00233,tuberculosis
DB00234,depression
DB00235,congestive heart failure
DB00236,polycythaemia
DB00236,chronic myeloid leukaemia
DB00237,insomnia
DB00237,anxiety disorders
DB00238,hiv-1 infection
DB00239,dermal fungal infection
DB00240,corticosteroid-responsive dermatoses
DB00241,headaches
DB00241,pain
DB00241,migraines
DB00242,anemia
DB00242,non-hodgkin's lymphoma
DB00242,cutaneous t-cell lymphoma
DB00242,chronic lymphocytic leukemia (cll)
DB00242,neutropenia
DB00242,thrombocytopenia
DB00242,hairy cell leukemia
DB00243,chronic angina
DB00244,ulcerative proctitis
DB00245,extrapyramidal disorders
DB00245,parkinsonism
DB00246,psychotic disorders
DB00246,schizophrenia
DB00247,vascular headache
DB00248,idiopathic
DB00248,prolactinoma
DB00248,hyperprolactinemic disorders
DB00248,parkinsonian syndrome
DB00248,prolactin-secreting adenomas
DB00249,keratoconjunctivitis
DB00249,keratitis
DB00249,herpes simplex
DB00250,dermatitis herpetiformis
DB00250,leprosy
DB00251,fungal infection
DB00251,vulva
DB00251,candidiasis
DB00252,seizures
DB00252,temporal lobe
DB00252,mal
DB00252,tonic-clonic
DB00253,episcleritis
DB00253,allergic conjunctivitis
DB00253,vernal conjunctivitis
DB00254,respiratory tract infections
DB00254,haemophilus influenzae
DB00254,malaria
DB00254,bacterial infections
DB00254,pneumoniae
DB00254,campylobacter
DB00254,tetanus
DB00255,miscarriage
DB00255,prostate cancer
DB00256,lyme disease
DB00256,urinary tract infections
DB00256,infection
DB00256,gonorrhea
DB00256,gum disease
DB00256,infections
DB00256,anthrax
DB00256,malaria
DB00256,acne
DB00256,bacterial infections
DB00256,chlamydia
DB00257,fungal infections
DB00257,jock itch
DB00257,ringworm
DB00257,oropharyngeal candidiasis
DB00257,vaginal yeast infections
DB00258,hyperphosphatemia
DB00258,kidney disease
DB00259,vulvovaginitis
DB00260,tb
DB00260,tuberculosis
DB00261,thrombo-hemorrhagic
DB00261,myeloproliferative disorders
DB00261,thrombocythemia
DB00261,thrombosis
DB00262,non-hodgkin's lymphomas
DB00262,hodgkin's disease
DB00262,multiple myeloma
DB00262,brain tumors
DB00263,toxoplasmosis
DB00263,urinary tract infections
DB00263,conjunctivitis
DB00263,nocardiosis
DB00263,malaria
DB00263,meningococcal meningitis
DB00263,bacterial infections
DB00263,otitis
DB00263,trachoma
DB00263,chancroid
DB00264,hypertension
DB00264,tachyarrhythmias
DB00264,angina pectoris
DB00264,supraventricular
DB00264,heart failure
DB00264,migraine headaches
DB00264,acute myocardial infarction
DB00265,pruritic
DB00265,scabies
DB00266,vein thrombosis
DB00267,infections
DB00268,idiopathic parkinson's disease
DB00268,restless legs syndrome
DB00269,prostate cancer
DB00269,breast engorgement
DB00269,infertility
DB00270,hypertension
DB00271,gastrointestinal tract
DB00271,allergic
DB00273,mal
DB00273,lennox-gastaut syndrome
DB00273,seizures
DB00273,obesity
DB00273,tonic-clonic
DB00273,migraine headaches
DB00274,infections
DB00275,hypertension
DB00276,acute myeloid leukaemia
DB00277,airflow obstruction
DB00277,chronic bronchitis
DB00277,chronic asthma
DB00277,emphysema
DB00277,chronic lung diseases
DB00278,hit
DB00278,thrombosis
DB00278,thrombocytopenia
DB00279,thyroiditis
DB00279,hypothyrodism
DB00279,hypothyroidism
DB00280,ventricular tachycardia
DB00280,ventricular arrhythmias
DB00280,ventricular pre-excitation
DB00280,cardiac dysrhythmias
DB00281,peripheral nerve block
DB00282,malignancy
DB00282,hypercalcemia
DB00283,angioedema
DB00283,rhinorrhea
DB00283,urticaria
DB00283,allergic skin
DB00283,pruritus
DB00283,allergic rhinitis
DB00284,diabetes type ii
DB00285,neuropathic pain
DB00285,social phobia
DB00285,mdd
DB00285,panic disorder
DB00285,agoraphobia
DB00285,breast cancer
DB00285,anxiety disorder
DB00285,depressive disorder
DB00285,gad
DB00286,primary ovarian failure
DB00286,androgen-dependent carcinoma of the prostate
DB00286,osteoporosis
DB00286,hypogonadism
DB00286,vulvovaginal atrophy
DB00286,breast cancer
DB00286,hypoestrogenism
DB00287,ocular hypertension
DB00287,open-angle glaucoma
DB00288,corticosteroid-responsive dermatoses
DB00289,adhd
DB00289,attention-deficit/hyperactivity disorder
DB00290,lymphomas
DB00290,malignant neoplasm
DB00290,squamous cell carcinoma
DB00290,"bronchus, lung)"
DB00291,lymphosarcoma
DB00291,malignant lymphomas
DB00291,non-hodgkin's lymphomas
DB00291,minimal-change nephrotic syndrome
DB00291,chronic lymphatic (lymphocytic) leukemia
DB00291,hodgkin's disease
DB00291,giant follicular lymphoma
DB00293,colon and rectum
DB00293,malignant neoplasm
DB00295,pain
DB00298,mydriasis
DB00300,chronic hepatitis b
DB00300,hiv-1 infection
DB00301,bacterial infection
DB00302,hemophilia
DB00302,trauma
DB00302,bleeding
DB00302,hemorrhage
DB00303,porphyromonas
DB00303,skin and skin structure
DB00303,clostridium
DB00303,pyelonephritis
DB00303,urinary tract infections
DB00303,pneumonia
DB00303,bacteremia
DB00303,septic
DB00303,infections
DB00303,endomyometritis
DB00303,diabetic foot infections
DB00303,pelvic infections
DB00303,eubacterium
DB00303,osteomyelitis
DB00303,intra-abdominal infections
DB00305,lip
DB00305,malignant neoplasm
DB00305,glaucoma
DB00307,cutaneous t-cell lymphoma
DB00307,skin lesions
DB00308,atrial flutter
DB00308,atrial fibrillation
DB00309,malignant lymphoma
DB00309,acute panmyelosis
DB00309,acute leukaemia
DB00309,hodgkin's disease
DB00309,erythraemia
DB00310,hypertension
DB00311,seizures
DB00311,epilepsy
DB00311,glaucoma
DB00311,ulcers
DB00312,insomnia
DB00313,mal
DB00313,seizure disorders
DB00313,mania
DB00313,lennox-gastaut syndrome
DB00313,migraine headache
DB00313,seizures
DB00313,absence seizures
DB00314,tuberculosis
DB00315,migraine
DB00315,auras
DB00316,fever
DB00316,pains
DB00316,aches
DB00317,non-small cell lung cancer
DB00318,cough suppressant
DB00318,pain
DB00319,polymicrobial infections
DB00320,migraine headaches
DB00320,cluster headache
DB00321,depression
DB00321,diabetic neuropathy
DB00321,agitation
DB00321,irritable bowel syndrome
DB00321,sleep disorders
DB00321,insomnia
DB00321,migraine
DB00321,chronic pain
DB00322,gastrointestinal adenocarcinoma
DB00322,liver cancer
DB00323,parkinsonian syndrome
DB00323,parkinson's disease
DB00324,palpebral and bulbar conjunctiva
DB00324,cornea
DB00325,acute congestive heart failure
DB00325,bleeding
DB00325,hypertensive
DB00326,tetany
DB00326,alkalosis
DB00326,intestinal malabsorption
DB00326,parathyroid deficiency
DB00326,hypocalcemia
DB00327,trauma/injury
DB00327,burns
DB00327,cancer
DB00327,pain
DB00328,bursitis
DB00328,osteoarthritis
DB00328,tendinitis
DB00328,acute painful shoulder
DB00328,rheumatoid arthritis
DB00328,chronic disease
DB00328,spondylitis
DB00330,pulmonary tuberculosis
DB00331,pcos
DB00331,metabolic and reproductive abnormalities
DB00331,niddm
DB00331,polycystic ovary syndrome
DB00332,chronic bronchitis
DB00332,emphysema
DB00332,chronic obstructive pulmonary disease
DB00332,bronchospasm
DB00333,withdrawal syndrome
DB00333,pain
DB00333,dry cough
DB00334,manic
DB00334,psychotic disorders
DB00334,bipolar 1 disorder
DB00334,schizophrenia
DB00335,angina pectoris
DB00335,hypertention
DB00336,pyodermas
DB00336,bacterial skin infections
DB00336,infections
DB00336,burns
DB00336,ulcers
DB00336,infected dermatoses
DB00337,atopic dermatitis
DB00338,multiple endocrine adenomas
DB00338,gastroesophageal reflux disease
DB00338,systemic mastocytosis
DB00338,gerd
DB00338,zollinger-ellison syndrome
DB00338,esophagitis
DB00338,heartburn
DB00338,ulcers
DB00339,tuberculosis
DB00340,parkinsonism
DB00341,allergic rhinitis
DB00341,idiopathic urticaria
DB00341,perennial allergic rhinitis
DB00342,fever
DB00342,allergic rhinitis
DB00342,allergic skin disorders
DB00343,hypertension
DB00344,depression
DB00346,beningn prostatic hyperplasia
DB00346,urinary obstruction
DB00347,seizures
DB00348,hereditary tyrosinemia
DB00349,seizures
DB00349,epilepsy
DB00349,lennox-gastaut syndrome
DB00349,difficult-to-treat
DB00350,hypertension
DB00350,alopecia
DB00350,hair loss
DB00351,weight loss
DB00351,prostate cancer
DB00351,immunodeficiency syndrome
DB00351,anorexia
DB00351,aids
DB00351,cachexia
DB00351,breast cancer
DB00351,endometrial cancer
DB00352,acute nonlymphocytic leukemias
DB00353,bleeding
DB00353,vaginal childbirth
DB00354,vertigo
DB00354,nausea
DB00354,vomiting
DB00354,dizziness
DB00355,urinary tract infections
DB00355,respiratory tract infections
DB00355,infections
DB00355,skin-structure infections
DB00355,intra-abdominal infections
DB00355,septicemia
DB00356,acute painful musculoskeletal
DB00357,cushing's syndrome
DB00357,malignant neoplasm
DB00357,carcinoma
DB00358,chloroquine-resistant
DB00358,malaria infections
DB00358,malaria
DB00358,plasmodium
DB00359,meningococcal meningitis
DB00359,rheumatic fever
DB00361,non-small-cell lung carcinoma
DB00362,peritonitis
DB00362,intra-abdominal abscess
DB00362,infections
DB00362,fungal infections
DB00362,esophageal candidiasis
DB00362,aspergillus infections
DB00362,candidemia
DB00363,treatment-resistant
DB00363,schizophrenia
DB00364,ulcers
DB00364,active duodenal ulcer
DB00364,duodenal ulcer
DB00364,gastric ulcer
DB00365,infections
DB00366,allergy
DB00368,hypotension
DB00368,shock
DB00368,neurogenic shock
DB00369,cmv retinitis
DB00369,acquired immunodeficiency syndrome
DB00369,aids
DB00370,depressive disorder
DB00371,anxiety disorders
DB00371,anxiety
DB00372,nausea
DB00372,vomiting
DB00373,migraine headaches
DB00373,glaucoma
DB00373,open-angle
DB00373,heart attacks
DB00374,pulmonary arterial hypertension
DB00375,hypercholesterolemia
DB00376,parkinson's disease
DB00377,nausea
DB00377,vomiting
DB00377,postoperative nausea and vomiting
DB00378,habitual abortions
DB00379,ventricular tachycardia
DB00379,premature ventricular beats
DB00379,ventricular fibrillation
DB00380,breast cancer
DB00380,cardiomyopathy
DB00381,hypertension
DB00381,chronic stable angina
DB00382,alzheimer's type
DB00382,dementia
DB00383,peptic ulcer disease
DB00383,gastrointestinal disorders
DB00383,muscle spasms
DB00384,edema
DB00384,steroid-induced edema
DB00384,nephrotic syndrome
DB00384,congestive heart failure
DB00384,cirrhosis of the liver
DB00384,hyperaldosteronism
DB00384,idiopathic edema
DB00385,cancer of the bladder
DB00387,parkinson's disease
DB00387,extrapyramidal reactions
DB00388,supraventricular tachycardia
DB00388,heart murmurs
DB00388,hypotension
DB00388,hemorrhoids
DB00388,shock
DB00388,nasal congestion
DB00389,hyperthyroidism
DB00389,thyrotoxicosis
DB00390,arrhythmias
DB00390,congestive cardiac insufficiency
DB00390,heart failure
DB00391,schizophrenia
DB00392,parkinson's disease
DB00393,ischemic deficits
DB00393,intracranial berry aneurysms
DB00393,subarachnoid hemorrhage
DB00393,sah
DB00394,allergic rhinitis
DB00394,crohn's disease of ileal or ileal-right colonic localisation
DB00396,amenorrhea
DB00396,abnormal uterine bleeding
DB00396,endometrial carcinoma
DB00396,endometrial hyperplasia and the attendant
DB00396,fibroids
DB00396,uterine cancer
DB00397,priapism
DB00397,obesity
DB00397,nasal congestion
DB00397,urinary incontinence
DB00398,renal cell carcinoma
DB00398,unresectable hepatocellular carcinoma
DB00399,multiple myeloma
DB00399,hypercalcemia
DB00399,malignancy
DB00399,paget’s disease
DB00399,tumors
DB00400,tinea corporis
DB00400,tinea barbae
DB00400,ringworm infections
DB00400,tinea pedis
DB00400,tinea cruris
DB00401,hypertension
DB00402,insomnia
DB00403,"gastric, biliary, and pancreatic secretion"
DB00403,ileus
DB00404,panic disorder
DB00404,anxiety disorder
DB00404,anxiety
DB00404,agoraphobia
DB00405,fever
DB00405,allergies
DB00406,thrush
DB00406,bacterial and fungal infections
DB00406,chagas' disease
DB00407,pulmonary embolism
DB00407,vein thrombosis
DB00408,schizophrenia
DB00408,psychotic disorders
DB00409,schizophrenia
DB00411,glaucoma
DB00412,diabetes mellitus
DB00413,idiopathic parkinson's disease
DB00414,diabetes mellitus type 2 (adult-onset
DB00415,s. typhosa
DB00415,streptococci
DB00415,p. mirabilis
DB00415,infection
DB00415,h. influenzae
DB00415,meningitis
DB00415,"respiratory, gi, uti"
DB00415,enterococci
DB00416,convulsive
DB00416,muscle contractions
DB00417,scarlet fever
DB00417,respiratory tract infections
DB00417,infection
DB00417,skin infections
DB00417,infections
DB00417,rheumatic fever
DB00418,insomnia
DB00419,hypersensitivity
DB00419,gaucher's disease
DB00419,nonneuropathic
DB00419,allergy
DB00419,niemann-pick disease
DB00419,neurological symptoms
DB00420,psychomotor agitation
DB00420,agitation
DB00421,hypokalemia
DB00421,conn's syndrome
DB00421,low-renin hypertension
DB00422,distractibility
DB00422,impulsivity
DB00422,hyperactivity
DB00422,behavioral syndrome
DB00424,colic
DB00424,cystitis
DB00424,bladder spasms
DB00424,diverticulitis
DB00424,parkinson's disease
DB00424,ulcer disease
DB00424,pancreatitis
DB00424,irritable bowel syndrome
DB00424,rhinitis
DB00425,insomnia
DB00426,herpes
DB00426,hiv infected
DB00426,shingles
DB00426,mucocutaneous herpes simplex infections
DB00427,angioedema
DB00427,nonallergic rhinitis
DB00427,allergic conjunctivitis
DB00427,urticaria
DB00427,allergic skin
DB00427,allergic rhinitis
DB00428,islet cell carcinoma
DB00429,previable fetus and absence of
DB00429,uterine atony
DB00429,loss of drug and insufficient or absent uterine
DB00429,premature rupture
DB00429,hemorrhage
DB00430,p. aeruginosa
DB00430,infections
DB00431,pediculosis capitis
DB00432,keratoconjunctivitis
DB00432,herpes simplex
DB00433,nausea
DB00433,anxiety disorder
DB00433,nonpsychotic anxiety
DB00433,vomiting
DB00433,psychotic disorders
DB00434,anaphylactic
DB00434,angioedema
DB00434,allergic reactions
DB00434,allergic conjunctivitis
DB00434,urticaria
DB00434,allergic skin
DB00434,vasomotor rhinitis
DB00434,dermatographism
DB00434,allergic rhinitis
DB00435,respiratory failure
DB00436,edema
DB00436,heart failure
DB00437,gout
DB00437,hyperuricemia
DB00437,renal calculi
DB00438,skin and skin structure
DB00438,urinary tract infections
DB00438,respiratory tract infections
DB00438,bacterial septicemia
DB00438,infections
DB00438,abdominal infections
DB00438,meningitis
DB00438,peritonitis
DB00439,hypercholesterolemia
DB00439,dyslipidemia
DB00440,cystitis
DB00440,pyelonephritis
DB00440,bacteriuria
DB00440,diarrhea
DB00440,pneumocystis jirovecii pneumonia
DB00440,urinary tract infections
DB00440,respiratory tract infections
DB00440,acute prostatitis
DB00440,pneumonia
DB00440,infections
DB00440,sinusitus
DB00440,otitis
DB00440,bronchitis
DB00441,ovarian cancer
DB00441,non-small cell lung cancer
DB00441,adenocarcinoma of the pancreas
DB00442,chronic hepatitis b virus infection
DB00442,active disease
DB00443,hematologic disorders
DB00443,neoplastic diseases
DB00443,dermatological diseases
DB00443,rheumatic disorders
DB00443,respiratory diseases
DB00443,corticosteroid-responsive dermatoses
DB00443,collagen diseases
DB00443,tuberculous meningitis
DB00443,dermatoses of the scalp
DB00443,trichinosis
DB00443,gastrointestinal diseases
DB00443,allergic
DB00444,acute lymphoblastic leukaemia
DB00445,tumor
DB00445,primary breast cancer
DB00446,decreases the diarrhea
DB00446,cholera
DB00446,bacterial conjunctivitis
DB00446,tetracycline-resistant
DB00447,pyelonephritis
DB00447,urinary tract infections
DB00447,respiratory tract bacterial infections
DB00447,pneumonia
DB00447,chronic bronchitis
DB00447,skin absceses
DB00447,sinusitis
DB00447,tonsillitis
DB00448,acid-reflux disorders
DB00448,gerd
DB00448,gastroinetestinal bleeds
DB00448,ulcer disease
DB00449,chronic open-angle glaucoma
DB00450,nausea
DB00450,vomiting
DB00451,myxedema coma
DB00451,chronic lymphocytic thyroiditis
DB00451,hypothyroidism
DB00451,stupor
DB00451,goiter
DB00452,corneal injuries
