node1,node2,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
A2M,F10,0.0,0.0,0.0,0.0,0.097,0.134,0.0,0.341,0.439
A2M,MAPT,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.281,0.452
A2M,GPT,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.423,0.453
A2M,SAA1,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.457,0.461
A2M,CD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.464
A2M,PLAUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487,0.487
A2M,CTSL,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.469,0.495
A2M,F11,0.0,0.0,0.0,0.0,0.143,0.134,0.0,0.381,0.5
A2M,PLAU,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.455,0.507
A2M,SERPINA5,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.483,0.52
A2M,AGT,0.0,0.0,0.0,0.0,0.241,0.0,0.0,0.401,0.525
A2M,F3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529,0.529
A2M,FGG,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.468,0.546
A2M,SHBG,0.0,0.0,0.0,0.0,0.062,0.192,0.0,0.452,0.548
A2M,FURIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.552
A2M,F7,0.0,0.0,0.0,0.0,0.148,0.134,0.0,0.454,0.562
A2M,C1S,0.0,0.0,0.0,0.0,0.119,0.134,0.0,0.476,0.566
A2M,C1R,0.0,0.0,0.0,0.0,0.142,0.134,0.0,0.477,0.577
A2M,CFB,0.0,0.0,0.0,0.0,0.122,0.134,0.0,0.504,0.589
A2M,TNF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.603
A2M,FN1,0.0,0.0,0.0,0.0,0.112,0.058,0.0,0.566,0.605
A2M,TF,0.0,0.0,0.0,0.0,0.149,0.0,0.0,0.591,0.638
A2M,LDLR,0.0,0.0,0.0,0.0,0.064,0.11,0.0,0.62,0.656
A2M,GC,0.0,0.0,0.0,0.0,0.145,0.111,0.0,0.605,0.674
A2M,INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689,0.689
A2M,APOA2,0.0,0.0,0.0,0.0,0.104,0.154,0.0,0.636,0.7
A2M,MMP12,0.0,0.0,0.0,0.0,0.074,0.0,0.6,0.26,0.701
A2M,MMP9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.671,0.862
A2M,IL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.875
A2M,CTSB,0.0,0.0,0.0,0.0,0.098,0.213,0.0,0.842,0.878
A2M,SERPINA1,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.877,0.888
A2M,SERPINC1,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.88,0.895
A2M,IL10,0.0,0.0,0.0,0.0,0.0,0.632,0.0,0.841,0.939
A2M,HSPA5,0.0,0.0,0.0,0.0,0.0,0.669,0.0,0.994,0.998
AADAT,DLD,0.0,0.0,0.0,0.0,0.063,0.0,0.9,0.062,0.904
AADAT,CRYM,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.443,0.573
AADAT,DECR1,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.545,0.555
AADAT,GOT2,0.094,0.0,0.0,0.0,0.097,0.0,0.0,0.696,0.729
AADAT,KYNU,0.0,0.0,0.0,0.0,0.065,0.0,0.9,0.827,0.982
AADAT,QDPR,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.463,0.475
AADAT,ADH5,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.41,0.422
AADAT,AGXT,0.163,0.0,0.0,0.0,0.109,0.0,0.0,0.268,0.406
AADAT,GLUL,0.159,0.0,0.0,0.0,0.062,0.0,0.0,0.319,0.416
AADAT,PIPOX,0.048,0.0,0.0,0.0,0.065,0.0,0.0,0.392,0.412
AADAT,BCAT2,0.157,0.0,0.0,0.0,0.088,0.0,0.0,0.438,0.53
AADAT,GOT1,0.094,0.0,0.0,0.0,0.145,0.128,0.0,0.559,0.662
AADAT,CTH,0.075,0.0,0.0,0.0,0.112,0.0,0.0,0.426,0.487
AADAT,AASS,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.618,0.668
AADAT,QPRT,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.733,0.739
AADAT,ABAT,0.166,0.0,0.0,0.0,0.065,0.0,0.0,0.318,0.422
AADAT,ALDH7A1,0.0,0.0,0.0,0.0,0.09,0.0,0.9,0.196,0.92
AADAT,PDE10A,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.693,0.701
AADAT,BCAT1,0.157,0.0,0.0,0.0,0.088,0.0,0.0,0.666,0.721
AARS2,UQCRC1,0.072,0.0,0.0,0.0,0.075,0.184,0.0,0.303,0.446
AARS2,DLD,0.052,0.0,0.0,0.0,0.09,0.0,0.0,0.48,0.513
AARS2,MTFMT,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.492,0.567
AARS2,WARS2,0.074,0.0,0.0,0.0,0.145,0.069,0.0,0.754,0.794
AARS2,CHEK1,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.398,0.411
AARS2,H6PD,0.303,0.0,0.0,0.0,0.099,0.0,0.0,0.143,0.414
AARS2,HSP90AA1,0.0,0.0,0.0,0.0,0.062,0.162,0.0,0.321,0.419
AARS2,NOS3,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.389,0.427
AARS2,GMPS,0.0,0.0,0.0,0.0,0.359,0.0,0.0,0.156,0.435
AARS2,NDUFA13,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.433,0.451
AARS2,ALDH18A1,0.328,0.0,0.0,0.0,0.126,0.0,0.0,0.143,0.452
AARS2,AFG3L2,0.078,0.0,0.282,0.0,0.163,0.0,0.0,0.139,0.459
AARS2,TSHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.459
AARS2,ALKBH2,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.454,0.466
AARS2,PHGDH,0.043,0.0,0.0,0.0,0.063,0.0,0.0,0.467,0.48
AARS2,HSP90AB1,0.0,0.0,0.0,0.0,0.062,0.162,0.0,0.415,0.5
AARS2,PSAT1,0.0,0.0,0.0,0.0,0.049,0.213,0.0,0.466,0.565
AARS2,MARS2,0.077,0.0,0.0,0.0,0.127,0.0,0.0,0.604,0.653
AARS2,NARS2,0.083,0.0,0.0,0.0,0.178,0.056,0.0,0.691,0.75
AARS2,PARS2,0.0,0.0,0.0,0.0,0.239,0.0,0.0,0.707,0.768
AARS2,CARS2,0.072,0.0,0.0,0.0,0.456,0.0,0.0,0.601,0.781
AARS2,EARS2,0.077,0.0,0.0,0.0,0.144,0.056,0.0,0.743,0.783
AARS2,TARS2,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.77,0.834
AARS2,FARS2,0.07,0.0,0.0,0.0,0.167,0.0,0.0,0.821,0.849
AARS2,YARS2,0.132,0.0,0.0,0.0,0.222,0.056,0.0,0.809,0.862
AARS2,DARS2,0.185,0.0,0.219,0.0,0.184,0.0,0.0,0.792,0.877
AARS2,LARS2,0.135,0.0,0.0,0.0,0.27,0.0,0.0,0.855,0.9
AARS2,IARS2,0.077,0.0,0.0,0.0,0.266,0.128,0.0,0.88,0.92
AASS,OTC,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.547,0.596
AASS,ASNS,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.38,0.461
AASS,SDS,0.077,0.0,0.0,0.0,0.109,0.0,0.0,0.536,0.585
AASS,HAL,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.56,0.569
AASS,ARG2,0.185,0.0,0.0,0.0,0.062,0.0,0.0,0.451,0.544
AASS,DLAT,0.0,0.0,0.0,0.0,0.641,0.0,0.0,0.0,0.641
AASS,NAGS,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.432,0.496
AASS,PDHA2,0.043,0.0,0.0,0.0,0.448,0.0,0.0,0.085,0.474
AASS,IDH3A,0.0,0.0,0.0,0.0,0.229,0.0,0.0,0.56,0.646
AASS,FASN,0.286,0.0,0.0,0.0,0.064,0.0,0.0,0.189,0.41
AASS,ASL,0.0,0.0,0.0,0.0,0.194,0.0,0.0,0.359,0.461
AASS,PDHB,0.0,0.0,0.0,0.0,0.647,0.0,0.0,0.047,0.649
AASS,GLS2,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.422,0.436
AASS,PIPOX,0.13,0.0,0.0,0.0,0.108,0.0,0.0,0.567,0.634
AASS,BCAT2,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.413,0.437
AASS,TAT,0.069,0.0,0.0,0.0,0.08,0.0,0.0,0.355,0.4
AASS,ARG1,0.185,0.0,0.0,0.0,0.065,0.0,0.0,0.472,0.563
AASS,SLC25A29,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.407,0.421
AASS,OAT,0.06,0.0,0.0,0.0,0.183,0.121,0.0,0.408,0.547
AASS,GOT1,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.37,0.4
AASS,ALDH18A1,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.707,0.722
AASS,ASS1,0.043,0.0,0.0,0.0,0.359,0.0,0.0,0.492,0.661
AASS,GNMT,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.365,0.402
AASS,SRM,0.219,0.463,0.0,0.0,0.145,0.0,0.0,0.441,0.772
AASS,PDHA1,0.043,0.0,0.0,0.0,0.448,0.0,0.0,0.085,0.474
AASS,SMS,0.219,0.0,0.0,0.0,0.097,0.0,0.0,0.243,0.419
AASS,ALDH7A1,0.074,0.0,0.0,0.0,0.645,0.0,0.9,0.256,0.972
ABAT,CKM,0.0,0.0,0.0,0.0,0.062,0.4,0.0,0.059,0.424
ABAT,OGDH,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.504,0.508
ABAT,AGXT2,0.0,0.0,0.0,0.582,0.085,0.788,0.9,0.625,0.984
ABAT,EHHADH,0.0,0.0,0.0,0.0,0.062,0.101,0.9,0.261,0.929
ABAT,ODC1,0.055,0.0,0.0,0.0,0.052,0.0,0.0,0.531,0.544
ABAT,CAT,0.0,0.0,0.0,0.0,0.082,0.67,0.0,0.076,0.695
ABAT,ACADS,0.041,0.0,0.0,0.0,0.0,0.0,0.8,0.23,0.839
ABAT,FAAH,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.424,0.45
ABAT,GOT2,0.0,0.0,0.0,0.0,0.062,0.76,0.0,0.257,0.818
ABAT,ALDH1A2,0.053,0.0,0.0,0.0,0.11,0.562,0.0,0.187,0.659
ABAT,ACSS2,0.0,0.0,0.0,0.0,0.096,0.0,0.8,0.107,0.824
ABAT,ALDH3B2,0.053,0.0,0.0,0.0,0.11,0.2,0.9,0.117,0.929
ABAT,FABP4,0.0,0.0,0.0,0.0,0.062,0.524,0.0,0.0,0.534
ABAT,PEBP1,0.0,0.0,0.0,0.0,0.235,0.788,0.0,0.108,0.842
ABAT,ALDH2,0.053,0.0,0.0,0.0,0.11,0.562,0.9,0.235,0.966
ABAT,PPAT,0.047,0.0,0.0,0.0,0.062,0.0,0.0,0.683,0.692
ABAT,SI,0.0,0.0,0.0,0.0,0.063,0.499,0.0,0.0,0.51
ABAT,HIBADH,0.0,0.0,0.0,0.0,0.063,0.0,0.9,0.144,0.912
ABAT,CSAD,0.07,0.0,0.0,0.0,0.195,0.101,0.0,0.221,0.405
ABAT,SORD,0.16,0.0,0.0,0.0,0.063,0.679,0.0,0.195,0.769
ABAT,SOD1,0.0,0.0,0.0,0.0,0.0,0.726,0.0,0.071,0.734
ABAT,GLUD1,0.104,0.0,0.0,0.0,0.053,0.0,0.0,0.545,0.58
ABAT,GADL1,0.07,0.0,0.0,0.0,0.195,0.101,0.9,0.244,0.939
ABAT,AKR1B1,0.0,0.0,0.0,0.0,0.102,0.272,0.0,0.188,0.422
ABAT,SLC6A1,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.312,0.42
ABAT,PDXK,0.0,0.0,0.0,0.0,0.056,0.272,0.0,0.291,0.47
ABAT,FTCD,0.048,0.0,0.0,0.0,0.108,0.0,0.0,0.398,0.444
ABAT,FABP5,0.0,0.0,0.0,0.0,0.063,0.677,0.0,0.043,0.685
ABAT,ALDH1A1,0.053,0.0,0.0,0.0,0.11,0.562,0.0,0.187,0.659
ABAT,CKB,0.0,0.0,0.0,0.0,0.062,0.4,0.0,0.174,0.494
ABAT,AGXT,0.166,0.0,0.0,0.0,0.122,0.3,0.0,0.411,0.658
ABAT,DCXR,0.0,0.0,0.0,0.0,0.069,0.76,0.0,0.0,0.767
ABAT,GAA,0.0,0.0,0.0,0.0,0.063,0.499,0.0,0.0,0.51
ABAT,ASL,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.448,0.46
ABAT,GLUL,0.075,0.0,0.0,0.0,0.062,0.0,0.9,0.5,0.95
ABAT,AOC3,0.046,0.0,0.0,0.0,0.063,0.0,0.0,0.446,0.461
ABAT,MSRA,0.0,0.0,0.0,0.0,0.062,0.732,0.0,0.112,0.757
ABAT,ALDH5A1,0.053,0.0,0.0,0.0,0.529,0.38,0.9,0.88,0.996
ABAT,ACSS1,0.0,0.0,0.0,0.0,0.096,0.0,0.8,0.107,0.824
ABAT,UGDH,0.046,0.0,0.0,0.0,0.062,0.0,0.0,0.404,0.42
ABAT,GLUD2,0.104,0.0,0.0,0.0,0.053,0.0,0.0,0.613,0.643
ABAT,ALDH1A3,0.053,0.0,0.0,0.0,0.11,0.328,0.0,0.187,0.477
ABAT,NME1,0.0,0.0,0.0,0.0,0.0,0.583,0.0,0.116,0.615
ABAT,MCCC2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.411,0.436
ABAT,GPT2,0.0,0.0,0.0,0.0,0.062,0.726,0.0,0.213,0.78
ABAT,ALDH3A2,0.053,0.0,0.0,0.0,0.11,0.2,0.9,0.117,0.929
ABAT,ALDH9A1,0.053,0.0,0.0,0.0,0.11,0.328,0.9,0.189,0.945
ABAT,GAD1,0.07,0.0,0.0,0.0,0.215,0.101,0.9,0.676,0.974
ABAT,OAT,0.055,0.0,0.0,0.581,0.134,0.0,0.0,0.728,0.402
ABAT,ACADSB,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.421,0.421
ABAT,PHGDH,0.076,0.0,0.0,0.0,0.048,0.788,0.0,0.153,0.821
ABAT,GOT1,0.0,0.0,0.0,0.0,0.074,0.245,0.0,0.712,0.781
ABAT,ASS1,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.493,0.505
ABAT,SGPL1,0.07,0.0,0.0,0.0,0.502,0.158,0.0,0.608,0.826
ABAT,ALDH4A1,0.053,0.0,0.0,0.0,0.11,0.2,0.0,0.361,0.511
ABAT,GAD2,0.07,0.0,0.0,0.0,0.273,0.101,0.9,0.675,0.976
ABAT,PCCA,0.0,0.0,0.0,0.0,0.063,0.0,0.8,0.25,0.847
ABAT,ALDH1B1,0.053,0.0,0.0,0.0,0.11,0.562,0.9,0.315,0.97
ABAT,NME2,0.0,0.0,0.0,0.0,0.0,0.583,0.0,0.232,0.666
ABAT,GPT,0.0,0.0,0.0,0.0,0.062,0.726,0.0,0.365,0.822
ABAT,TKT,0.0,0.0,0.0,0.0,0.0,0.243,0.0,0.243,0.402
ABAT,HADH,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.485,0.496
ABAT,MGAM,0.0,0.0,0.0,0.0,0.063,0.499,0.0,0.0,0.51
ABAT,HAGH,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.52,0.531
ABAT,PCCB,0.0,0.0,0.0,0.0,0.062,0.0,0.8,0.132,0.822
ABAT,GATM,0.079,0.0,0.0,0.0,0.087,0.0,0.8,0.145,0.837
ABAT,ALDH3B1,0.053,0.0,0.0,0.0,0.11,0.2,0.9,0.117,0.929
ABAT,ALDH3A1,0.053,0.0,0.0,0.0,0.11,0.2,0.9,0.117,0.929
ABAT,ALDH6A1,0.0,0.0,0.0,0.0,0.185,0.0,0.9,0.578,0.962
ABAT,ALDH7A1,0.053,0.0,0.0,0.0,0.11,0.839,0.9,0.162,0.986
ABCA1,CYP51A1,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.403,0.413
ABCA1,SULT2B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497,0.497
ABCA1,SIRT1,0.0,0.0,0.0,0.0,0.056,0.058,0.0,0.468,0.486
ABCA1,PON1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.616
ABCA1,MPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.475
ABCA1,CCL2,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.529,0.55
ABCA1,GAPDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512,0.512
ABCA1,APOA1,0.0,0.0,0.0,0.0,0.062,0.686,0.8,0.991,0.999
ABCA1,TTR,0.0,0.0,0.0,0.0,0.062,0.157,0.0,0.434,0.513
ABCA1,IAPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.672
ABCA1,LRP1,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.53,0.551
ABCA1,CANX,0.0,0.0,0.0,0.0,0.062,0.27,0.0,0.592,0.696
ABCA1,APOE,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.983,0.983
ABCA1,NR1H2,0.0,0.0,0.0,0.0,0.062,0.681,0.8,0.838,0.989
ABCA1,CRP,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.47,0.481
ABCA1,FABP4,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.43,0.442
ABCA1,CYP27A1,0.0,0.0,0.0,0.0,0.085,0.056,0.0,0.65,0.672
ABCA1,TLR2,0.0,0.0,0.0,0.0,0.085,0.056,0.0,0.392,0.429
ABCA1,TTPA,0.0,0.0,0.0,0.0,0.062,0.057,0.0,0.627,0.642
ABCA1,SCARB1,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.934,0.935
ABCA1,SPTLC1,0.0,0.0,0.0,0.0,0.062,0.501,0.0,0.519,0.755
ABCA1,IL1B,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.56,0.572
ABCA1,ABCB11,0.0,0.0,0.0,0.544,0.063,0.135,0.0,0.686,0.414
ABCA1,ICAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.462
ABCA1,CPT1A,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.636,0.644
ABCA1,SQLE,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.496,0.507
ABCA1,IDE,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.396,0.409
ABCA1,APP,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.579,0.589
ABCA1,PPARG,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.725,0.73
ABCA1,HMGCR,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.784,0.79
ABCA1,NPC1L1,0.0,0.0,0.0,0.0,0.064,0.06,0.0,0.729,0.741
ABCA1,VCAM1,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.546,0.57
ABCA1,ALB,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.56,0.57
ABCA1,NOS3,0.0,0.0,0.0,0.0,0.062,0.169,0.0,0.471,0.552
ABCA1,ALDH1A1,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.477,0.483
ABCA1,HDAC3,0.0,0.0,0.0,0.0,0.062,0.057,0.9,0.091,0.908
ABCA1,ABCC8,0.0,0.0,0.0,0.0,0.083,0.135,0.0,0.362,0.45
ABCA1,FASN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.583
ABCA1,LPL,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.683,0.688
ABCA1,PPARD,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.428,0.45
ABCA1,BACE1,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.401,0.414
ABCA1,SLC2A4,0.0,0.0,0.0,0.0,0.062,0.056,0.0,0.41,0.432
ABCA1,LPA,0.0,0.0,0.0,0.0,0.056,0.056,0.0,0.853,0.857
ABCA1,NR1I2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.457,0.467
ABCA1,SNCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448,0.448
ABCA1,DHCR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48
ABCA1,ABCG1,0.0,0.0,0.0,0.563,0.062,0.0,0.0,0.961,0.455
ABCA1,SOAT1,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.608,0.616
ABCA1,APOA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,0.746
ABCA1,MMP9,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.392,0.405
ABCA1,TLR4,0.0,0.0,0.0,0.0,0.107,0.056,0.0,0.521,0.561
ABCA1,RXRB,0.0,0.0,0.0,0.0,0.054,0.06,0.9,0.268,0.926
ABCA1,ABCB5,0.0,0.0,0.0,0.544,0.063,0.135,0.0,0.68,0.412
ABCA1,GMDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418,0.418
ABCA1,ACSL1,0.0,0.0,0.0,0.0,0.063,0.062,0.0,0.395,0.422
ABCA1,ABCC1,0.0,0.0,0.0,0.54,0.083,0.135,0.0,0.677,0.425
ABCA1,LSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.43
ABCA1,RHOA,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.41,0.442
ABCA1,IL10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45
ABCA1,FDFT1,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.453,0.464
ABCA1,MMAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.465
