,diseaseNID,diseaseName
123,124,Amenorrhea
124,125,"Amino Acid Metabolism, Inborn Errors"
125,126,Renal Aminoacidurias
126,127,Amnesia
127,128,Post-traumatic amnesia
128,129,Retrograde amnesia
129,130,Amnestic Disorder
130,131,Infection of amniotic cavity
131,132,Amputation Stumps
132,133,Amyloidosis
133,134,Oppenheim's Disease
134,135,Amyotrophic Lateral Sclerosis
135,136,Congenital Pain Insensitivity
136,137,anaphylaxis
137,138,Anaplasia
138,139,Bovine Anaplasmosis
139,140,Ancylostomiasis
140,141,Anemia
141,142,Anemia of chronic disease
142,143,Aplastic Anemia
143,144,Cooley's anemia
144,145,Congenital dyserythropoietic anemia
145,146,"Anemia, Hemolytic"
146,147,"Anemia, Hemolytic, Acquired"
147,148,Autoimmune hemolytic anemia
148,149,"Anemia, Hemolytic, Congenital"
149,150,"Anemia, Hemolytic, Congenital Nonspherocytic"
150,151,"Anemia, Hemolytic, Idiopathic Acquired"
151,152,Hypochromic anemia
152,153,"Anemia, Macrocytic"
153,154,"Anemia, Megaloblastic"
154,155,"Anemia, Microangiopathic"
155,156,Leukoerythroblastic Anemia
156,157,"Anemia, Neonatal"
157,158,"Anemia, Pernicious"
158,159,Refractory anemias
159,160,Refractory anaemia with excess blasts
160,161,"Anemia, Sickle Cell"
161,162,Sideroblastic anemia
162,163,"Anemia, Splenic"
163,164,Anencephaly
164,165,Aneuploidy
165,166,Aneurysm
166,167,"Aneurysm, Dissecting"
167,168,Anger
168,169,Angiectasis
169,170,Angina Pectoris
170,171,"Angina Pectoris, Variant"
171,172,"Angina, Unstable"
172,173,Angioid Streaks
173,174,Angiokeratoma
174,175,Fabry Disease
175,176,Epithelioid hemangioma of skin
176,177,Cutaneous Fibrous Histiocytoma
177,178,Angiomatosis
178,179,Angioedema
179,180,Anhidrosis
180,181,Aniridia
181,182,Aniseikonia
182,183,Anisocoria
183,184,Anisometropia
184,185,Ankylosing spondylitis and other inflammatory spondylopathies
185,186,Ankylosis
186,187,Anomia
187,188,Anophthalmos
188,189,Anorexia
189,190,Anorexia Nervosa
190,191,Anosmia
191,192,Anovulation
192,193,Anoxemia
193,194,Anoxia
194,195,Anoxic Encephalopathy
195,196,Anthracosilicosis
196,197,Anthracosis
197,198,Anthrax disease
198,199,Cutaneous anthrax
199,200,Antibody Deficiency Syndrome
200,201,Antisocial Personality Disorder
201,202,Anuria
202,203,Anus Neoplasms
203,204,"Anus, Imperforate"
204,205,Anxiety
205,206,Anxiety Disorders
206,207,Separation Anxiety Disorder
207,208,Aortic Aneurysm
208,209,Aortic coarctation
209,210,Aortic Diseases
210,211,Aortic Rupture
211,212,Supravalvular aortic stenosis
212,213,Aortic Valve Insufficiency
213,214,Aortic Valve Stenosis
214,215,Aortitis
215,216,Aortitis Syndrome
216,217,Aortopulmonary Septal Defect
217,218,Aphakia
218,219,Aphasia
219,220,"Aphasia, Acquired"
220,221,Broca Aphasia
221,222,Aphonia
222,223,Apnea
223,224,Appendiceal Neoplasms
224,225,Appendicitis
225,226,Appetite Disorders
226,227,Apraxias
227,228,Apudoma
228,229,Arachnodactyly
229,230,Arachnoiditis
230,231,Arbovirus Infections
231,232,Arcus Senilis
232,233,Arenaviridae Infections
233,234,Arnold Chiari Malformation
234,235,Sertoli-Leydig cell tumor of ovary
235,236,Cardiac Arrhythmia
236,237,Arterial insufficiency
237,238,Arterial Occlusive Diseases
238,239,Arteriosclerosis
239,240,Arteriosclerosis Obliterans
240,241,Arteriovenous fistula
241,242,Congenital arteriovenous malformation
242,243,Arteritis
243,244,Arthralgia
244,245,Arthritis
245,246,"Arthritis, Adjuvant-Induced"
246,247,"Arthritis, Gouty"
247,248,"Arthritis, Infectious"
248,249,"Arthritis, Psoriatic"
249,250,Rheumatoid Arthritis
250,251,"Arthritis, Viral"
251,252,Arthrogryposis
252,253,Neurogenic arthropathy
253,254,Arthus Reaction
254,255,Articulation Disorders
255,256,As If Personality
256,257,Asbestosis
257,258,Ascariasis
258,259,Ascites
259,260,Ascorbic Acid Deficiency
260,261,Aspergillosis
261,262,"Aspergillosis, Allergic Bronchopulmonary"
262,263,Asphyxia
263,264,Asphyxia Neonatorum
264,265,Inspiration function
265,266,aspirin intolerance
266,267,Asthenia
267,268,Asthma
268,269,"Asthma, Exercise-Induced"
269,270,Astigmatism
270,271,Astrocytoma
271,272,Ataxia
272,273,Ataxia Telangiectasia
273,274,"Ataxias, Hereditary"
274,275,Atelectasis
275,276,Atherosclerosis
276,277,Athetosis
277,278,Atrial Fibrillation
278,279,Atrial Flutter
279,280,Atrioventricular Block
280,281,Child attention deficit disorder
281,282,Tooth Attrition
282,283,Auditory Perceptual Disorders
283,284,Auriculo-Ventricular Dissociation
284,285,Autistic Disorder
285,286,Autoimmune Diseases
286,287,Autoimmune state
287,288,Autosome Abnormalities
288,289,"Sarcoma, Avian"
289,290,Avoidant Personality Disorder
290,291,Azoospermia
291,292,"Melanoma, B16"
292,293,Babesiosis
293,294,Back Pain
294,295,Nonproliferative diabetic retinopathy
295,296,Retinopathy background
296,297,Bacteremia
297,298,Bacterial Infections
298,299,"Pneumonia, Bacterial"
299,300,Bacteriuria
300,301,Bacteroides Infections
301,302,Bagassosis
302,303,Balkan Nephropathy
303,304,Balo's Concentric Sclerosis
304,305,Barrett Esophagus
305,306,Bartonella Infections
306,307,Bartter Disease
307,308,Basal Cell Nevus Syndrome
308,309,Basal Ganglia Diseases
309,310,Beckwith-Wiedemann Syndrome
310,311,Behavior Disorders
311,312,Mental disorders
312,313,Behavioral Symptoms
313,314,Behcet Syndrome
314,315,Bejel
315,316,Benign neoplasm of colon
316,317,Benign Ovarian Neoplasm
317,318,Benign neoplasm of skin
318,319,Benign prostatic hypertrophy
319,320,Beriberi
320,321,Bernard-Soulier Syndrome
321,322,Berry Aneurysm
322,323,Berylliosis
323,324,Besnoitiasis
324,325,beta Thalassemia
325,326,Bile Duct Diseases
326,327,Bile Duct Neoplasms
327,328,"Cholestasis, Extrahepatic"
328,329,Bile Reflux
329,330,Biliary Atresia
330,331,Biliary Tract Diseases
331,332,Biliary Tract Neoplasm
332,333,Bipolar Disorder
333,334,"Depression, Bipolar"
334,335,Birth Weight
335,336,Urinary Bladder Calculi (disorder)
336,337,Malignant neoplasm of urinary bladder
337,338,Urinary Bladder Diseases
338,339,Bladder Exstrophy
339,340,Bladder neck obstruction
340,341,Bladder Neoplasm
341,342,Neurogenic Urinary Bladder
342,343,Blast Phase
343,344,Blastomycosis
344,345,Oral paracoccidioidomycosis
345,346,Blepharitis
346,347,Blepharochalasis
347,348,Blepharophimosis
348,349,Blepharoptosis
349,350,Blepharospasm
350,351,Blind Loop Syndrome
351,352,Congenital blindness
352,353,Bulla
353,354,Blood Coagulation Disorders
354,355,Blood Group Incompatibility
355,356,Blood Platelet Disorders
356,357,Blood Pressure
357,358,Blood Sedimentation
358,359,Blood urea nitrogen measurement
359,360,Blood Viscosity
360,361,Bloom Syndrome
361,362,Bluetongue infection
362,363,Blushing
363,364,Body Dysmorphic Disorders
364,365,Body Height
365,366,Body mass index procedure
366,367,Body Rocking
367,368,Body Temperature Changes
368,369,Body Weight
369,370,Body Weight Changes
370,371,Bone Cysts
371,372,Bone Density
372,373,Bone Diseases
373,374,"Bone Diseases, Developmental"
374,375,"Bone Diseases, Endocrine"
375,376,Metabolic Bone Disorder
376,377,Bone Marrow Diseases
377,378,Bone neoplasms
378,379,Bone Resorption
379,380,Border Disease
380,381,Borderline intellectual disability
381,382,Borderline Personality Disorder
382,383,Bordetella Infections
383,384,Borna Disease
384,385,Borrelia Infections
385,386,Boutonneuse Fever
386,387,Bowen's Disease
387,388,Brachial plexus lesion
388,389,Brain Abscess
389,390,"Brain Damage, Chronic"
390,391,Brain Death
391,392,Brain Diseases
392,393,"Brain Diseases, Metabolic"
393,394,Cerebral Edema
394,395,Brain Neoplasms
395,396,Branchioma
396,397,Malignant neoplasm of breast
397,398,Breast Cyst
398,399,Breast Diseases
399,400,Breech Presentation
400,401,Brenner Tumor
401,402,Bronchial Diseases
402,403,Bronchial Fistula
403,404,Bronchial Neoplasms
404,405,Bronchospasm
405,406,Bronchiectasis
406,407,Bronchiolitis
407,408,Bronchiolitis Obliterans
408,409,"Bronchiolitis, Viral"
409,410,Bronchitis
410,411,Congenital bronchogenic cyst
411,412,Bronchopneumonia
412,413,Bronchopulmonary Dysplasia
413,414,Bronchopulmonary Sequestration
414,415,Brucellosis
415,416,Bruxism
416,417,Bulimia
417,418,Bundle-Branch Block
418,419,Bunion
419,420,Burkitt Lymphoma
420,421,Burning Mouth Syndrome
421,422,Bursitis
422,423,Byssinosis
423,424,Cachexia
424,425,Cadmium poisoning
425,426,Calcinosis
426,427,Calcinosis cutis
427,428,Calciphylaxis
428,429,Calcium Metabolism Disorders
429,430,Campylobacter infection
430,431,Malignant Neoplasms
431,432,Candidiasis
432,433,"Candidiasis, Chronic Mucocutaneous"
433,434,Cutaneous Candidiasis
434,435,Mucocutaneous candidiasis
435,436,Oral candidiasis
436,437,Candidiasis of vagina
437,438,Cannabis Abuse
438,439,Cannabis Dependence
439,440,Capillariasis
440,441,Capillaritis
441,442,Capillary Fragility
442,443,Caplan Syndrome
443,444,"Carbohydrate Metabolism, Inborn Errors"
444,445,Carbon Monoxide Poisoning
445,446,Carcinoid Heart Disease
446,447,Carcinoid Tumor
447,448,Carcinoma
448,449,Malignant tumor of colon
449,450,Malignant neoplasm of endometrium
450,451,Female Breast Carcinoma
451,452,Malignant neoplasm of larynx
452,453,Adenocarcinoma of prostate
453,454,Rectal Carcinoma
454,455,Malignant neoplasm of skin
455,456,Malignant neoplasm of thyroid
456,457,Basal cell carcinoma
457,458,"Carcinoma, Basosquamous"
458,459,Bronchioloalveolar Adenocarcinoma
459,460,Bronchogenic Carcinoma
460,461,Noninfiltrating Intraductal Carcinoma
461,462,"Carcinoma, Ehrlich Tumor"
462,463,Merkel cell carcinoma
463,464,Mucinous Adenocarcinoma
464,465,Non-Small Cell Lung Carcinoma
465,466,"Carcinoma, Papillary"
466,467,Renal Cell Carcinoma
467,468,"Adenocarcinoma, Scirrhous"
468,469,Squamous cell carcinoma
469,470,"Carcinoma, Transitional Cell"
470,471,Carcinosarcoma
471,472,Low Cardiac Output
472,473,Cardiac Tamponade
473,474,"Cardiomyopathy, Alcoholic"
474,475,"Cardiomyopathy, Dilated"
475,476,Hypertrophic Cardiomyopathy
476,477,Restrictive cardiomyopathy
477,478,Cardiovascular Diseases
478,479,Carotid Artery Diseases
479,480,Carotid Artery Thrombosis
480,481,Carotid Body Paraganglioma
481,482,Carotid Stenosis
482,483,Carpal Tunnel Syndrome
483,484,Cartilage Diseases
484,485,Cat-Scratch Disease
485,486,Catalepsy
486,487,Cataplexy
487,488,Catastrophic Illness
488,489,Catatonia
489,490,Causalgia
490,491,Cecal Neoplasms
491,492,Celiac Disease
492,493,Neoplastic Cell Transformation
493,494,Cellulitis
494,495,Cellulitis and abscess NOS (disorder)
495,496,Cementoma
496,497,CNS disorder
497,498,Central Nervous System Infection
498,499,Central Retinal Artery Occlusion
499,500,Cephalhematoma due to birth trauma
500,501,Cerebellar Ataxia
501,502,Cerebellar Diseases
502,503,Myoclonic Cerebellar Dyssynergia
503,504,Cerebellar Neoplasms
504,505,Intracranial Aneurysm
505,506,Intracranial Arteriosclerosis
506,507,Intracranial Arteriovenous Malformation
507,508,Cerebral arteritis
508,509,Cerebral Atherosclerosis
509,510,Cerebral Embolism
510,511,Intracranial Embolism and Thrombosis
511,512,Cerebral Infarction
512,513,Brain Ischemia
513,514,Transient Ischemic Attack
514,515,Cerebral Palsy
515,516,Diffuse Cerebral Sclerosis of Schilder
516,517,Cerebrospinal Fluid Rhinorrhea
517,518,Cerebrovascular Disorders
518,519,Malignant tumor of cervix
519,520,Cervical Migraine Syndrome
520,521,Cervical polyp
521,522,Neck Pain
522,523,Uterine Cervicitis
523,524,Cervico-Brachial Neuralgia
524,525,Cervix Diseases
525,526,Cervical dysplasia
526,527,Uterine Cervical Incompetence
527,528,Uterine Cervical Neoplasm
528,529,Cestode Infections
529,530,Chagas Cardiomyopathy
530,531,Chagas' disease without mention of organ involvement
531,532,Meibomian Cyst
532,533,Syphilitic chancre
533,534,Chancroids
534,535,Charcot-Marie-Tooth Disease
535,536,Chediak-Higashi Syndrome
536,537,Cheilitis
537,538,Cherubism
538,539,Chest Pain
539,540,Pleuritic pain
540,541,Cheyne-Stokes Respiration
541,542,Chiari-Frommel Syndrome
542,543,Chikungunya Fever
543,544,Chilblains
544,545,child abuse behavior
545,546,Child Sexual Abuse
546,547,Developmental Disabilities
547,548,"Child Development Disorders, Pervasive"
548,549,Chlamydia Infections
549,550,Chloramphenicol Resistance
550,551,Asiderotic anemia
551,552,Choanal Atresia
552,553,Polyp in nasopharynx
553,554,Choking
554,555,Bile duct adenoma
555,556,Cholangitis
556,557,Primary biliary cirrhosis
557,558,"Cholangitis, Sclerosing"
558,559,Cholecystitis
559,560,Choledochal Cyst
560,561,Cholelithiasis
561,562,Cholemia
562,563,Cholera
563,564,Cholestasis
564,565,Intrahepatic Cholestasis
565,566,Cholesteatoma
566,567,Cholesterol Ester Storage Disease
567,568,Choline Deficiency
568,569,Chondritis
569,570,Chondroblastoma
570,571,Chondrodysplasia Punctata
571,572,Congenital anomaly of cartilage
572,573,"Chondromatosis, Synovial"
573,574,Chondrosarcoma
574,575,Chordoma
575,576,Chorea
576,577,"Hydatidiform Mole, Invasive"
577,578,Chorioamnionitis
578,579,Choriocarcinoma
579,580,Chorioretinitis
580,581,Ectopic Tissue
581,582,Choroid Diseases
582,583,Choroid Hemorrhage
583,584,Choroideremia
584,585,Choroiditis
585,586,Hemophilia B
586,587,Chromoblastomycosis
587,588,Chromosome Aberrations
588,589,Congenital chromosomal disease
589,590,Chromosome Deletion
590,591,"Bronchitis, Chronic"
591,592,Cryptogenic pulmonary eosinophilia
592,593,Chronic gingivitis
593,594,Chronic anterior uveitis
594,595,Chronic maxillary sinusitis
595,596,Chronic Motor or Vocal Tic Disorder
596,597,Chronic osteomyelitis
597,598,Chronic rhinitis
598,599,Eosinophilic granulomatosis with polyangiitis
599,600,Chylous Ascites
600,601,Chylothorax
601,602,Cicatrization
602,603,Ciliary Motility Disorders
603,604,Circadian Rhythms
604,605,Claustrophobia
605,606,Cleft upper lip
606,607,Cleft Palate
607,608,Cleidocranial Dysplasia
608,609,Clonorchiasis
609,610,Clonus
610,611,"Melanoma, Cloudman S91"
611,612,Clubbed Fingers
612,613,Congenital clubfoot
613,614,Cluster A personality disorder
614,615,Cluster B personality disorder
615,616,Cluster C personality disorder
616,617,Cluster Headache
617,618,Cluttering
618,619,Cocaine Abuse
619,620,Cocaine intoxication
620,621,Cocaine withdrawal
621,622,Coccidioidomycosis
622,623,Coccidiosis
623,624,Cochlear Diseases
624,625,Cockayne Syndrome
625,626,Coenuriasis
626,627,Cognition Disorders
627,628,Colitis
628,629,Ulcerative Colitis
629,630,Collagen Diseases
630,631,Congenital ocular coloboma (disorder)
631,632,Colonic Diseases
632,633,"Colonic Diseases, Functional"
633,634,Colonic Neoplasms
634,635,Colonic Polyps
635,636,Color vision defect
636,637,Colorectal Carcinoma
637,638,Colorectal Neoplasms
638,639,Hereditary Nonpolyposis Colorectal Neoplasms
639,640,Comatose
640,641,Combat Disorders
641,642,Common Bile Duct Calculi
642,643,"Choledochal Cyst, Type I"
643,644,Common Cold
644,645,Common Variable Immunodeficiency
645,646,Communicating Hydrocephalus
646,647,Communication impairment
647,648,Compartment syndromes
648,649,Obsessive-Compulsive Personality
649,650,Condylomata Acuminata
650,651,Confusion
651,652,Congenital macroglossia
652,653,Anomalous pulmonary artery
653,654,Congenital cataract
654,655,Congenital dislocation
655,656,"Hepatic Fibrosis, Congenital"
656,657,Spinal meningocele
657,658,Conjunctival Diseases
658,659,Conjunctival Neoplasms
659,660,Conjunctivitis
660,661,"Conjunctivitis, Acute Hemorrhagic"
661,662,Allergic Conjunctivitis
662,663,"Conjunctivitis, Giant Papillary"
663,664,Viral Conjunctivitis
664,665,Conn Adenoma
665,666,Connective Tissue Diseases
666,667,Consciousness Disorders
667,668,Constipation
668,669,Constitutional Symptom
669,670,Contracture
670,671,Contracture of joint
671,672,Contrast Sensitivity
672,673,Conversion disorder
673,674,Febrile Convulsions
674,675,Cor Triatriatum
675,676,Corneal Diseases
676,677,Hereditary corneal dystrophy
677,678,Corneal dystrophy
678,679,Corneal Opacity
679,680,Corneal Ulcer
680,681,Corn of toe
681,682,Coronary Aneurysm
682,683,Coronary Arteriosclerosis
683,684,Coronary heart disease
684,685,Coronary Thrombosis
685,686,Coronary Artery Vasospasm
686,687,Coronary Vessel Anomalies
687,688,Corpus Luteum Cyst
688,689,Coughing
689,690,Chronic cough
690,691,Cowpox
691,692,Coxsackievirus Infections
692,693,Cranial nerve diseases
693,694,Craniofacial Dysostosis
694,695,Craniopharyngioma
695,696,Craniosynostosis
696,697,Congenital Hypothyroidism
697,698,Cri-du-Chat Syndrome
698,699,"Crigler Najjar syndrome, type 1"
699,700,Crisscross Heart
700,701,Crohn Disease
701,702,Croup
702,703,Crush syndrome
703,704,Cruveilhier-Baumgarten Syndrome
704,705,Cryoglobulinemia
705,706,Infection by Cryptococcus neoformans
706,707,Cryptorchidism
707,708,Cryptosporidiosis
708,709,Curling Ulcer
709,710,Cushing Syndrome
710,711,Cutis Laxa
711,712,Cyanosis
712,713,Cyclothymic Disorder
713,714,Adenoid Cystic Carcinoma
714,715,Embryonic cyst
715,716,Cystadenocarcinoma
716,717,Cystadenoma
717,718,"Cystadenoma, Mucinous"
718,719,"Cystic Adenomatoid Malformation of Lung, Congenital"
719,720,Endometrial cystic hyperplasia
720,721,Cystic Fibrosis
721,722,Cysticercosis
722,723,Cystinuria
723,724,Cystitis
724,725,Cystocele
725,726,Phyllodes Tumor
726,727,Cyst
727,728,Cytomegalovirus Infections
728,729,Dacryocystitis
729,730,Dandy-Walker Syndrome
730,731,Prelingual Deafness
731,732,Deafness
732,733,"Hearing Loss, Sudden"
733,734,Sudden death
734,735,Decerebrate State
735,736,Decompression Sickness
736,737,Pressure Ulcer
737,738,Deglutition Disorders
738,739,Dehydration
739,740,Dejerine-Sottas Disease (disorder)
740,741,Delirium
741,742,Hepatitis D Infection
742,743,Delusional disorder
743,744,Delusions
744,745,Multi-infarct dementia
745,746,Presenile dementia
746,747,Senile dementia
747,748,"Dementia, Vascular"
748,749,Demyelinating disease of central nervous system
749,750,Demyelinating Diseases
750,751,Demyelination
751,752,Dengue Fever
752,753,Dens in Dente
753,754,Dental Calculus
754,755,Dental caries
755,756,Dental Enamel Hypoplasia
756,757,Dental Plaque
757,758,Dental Pulp Diseases
758,759,Dental Pulp Exposure
759,760,Dental Pulp Necrosis
760,761,Dentigerous Cyst
761,762,Dentin Dysplasia
762,763,Dentin Sensitivity
763,764,"Dentin, Secondary"
764,765,Dentinogenesis Imperfecta
765,766,Dependent Personality Disorder
766,767,Depersonalization
767,768,Mental Depression
768,769,Endogenous depression
769,770,Involutional Depression
770,771,Reactive depression
771,772,Depressive disorder
772,773,Dermatitis
773,774,Exfoliative dermatitis
774,775,Dermatitis Herpetiformis
775,776,Drug Eruptions
776,777,"Dermatitis, Atopic"
777,778,Contact Dermatitis
778,779,Stasis dermatitis
779,780,Dermatomycoses
780,781,Dermatomyositis
781,782,Dermatophytosis
782,783,Scleroderma
783,784,Dermatosis Papulosa Nigra
784,785,Dermoid Cyst
785,786,Developmental Coordination Disorder
786,787,Dextrocardia
787,788,Diabetes
788,789,Diabetes Insipidus
789,790,Diabetes Mellitus
790,791,"Diabetes Mellitus, Experimental"
791,792,"Diabetes Mellitus, Insulin-Dependent"
792,793,Lipoatrophic Diabetes Mellitus
793,794,"Diabetes Mellitus, Non-Insulin-Dependent"
794,795,Diabetic peripheral angiopathy
795,796,Diabetic Angiopathies
796,797,Cataract due to diabetes mellitus
797,798,Diabetic Ketoacidosis
798,799,Diabetic Nephropathy
799,800,Diabetic Neuropathies
800,801,Diabetic Retinopathy
801,802,"Diagnostic Techniques, Cardiovascular"
802,803,Diaphragmatic Eventration
803,804,Camurati-Engelmann Syndrome
804,805,Diarrhea
805,806,Infantile Diarrhea
806,807,Vipoma
807,808,Diastema of Teeth
808,809,Diastematomyelia
809,810,Dictyocaulus Infections
810,811,DiGeorge Syndrome
811,812,Congenital anomaly of gastrointestinal tract
812,813,Digestive System Disorders
813,814,Digestive System Neoplasms
814,815,Pathological Dilatation
815,816,Diphtheria
816,817,Diplopia
817,818,Dirofilariasis
818,819,disc disorder
819,820,Discitis
820,821,Blastocyst Disintegration
821,822,Disorder of copper metabolism
822,823,Iron Metabolism Disorders
823,824,Disorder of magnesium metabolism
824,825,Disruptive Behavior Disorder
825,826,Dissecting aortic aneurysm
826,827,Disseminated Intravascular Coagulation
827,828,Dissociative disorder
828,829,Distemper
829,830,Tooth eruption disorder
830,831,Colon diverticulum anatomic structure
831,832,Diverticulitis
832,833,Colonic Diverticulitis
833,834,Diverticulum
834,835,Diverticular disease of colon
835,836,Dizziness
836,837,Double Outlet Right Ventricle
837,838,Down Syndrome
838,839,Drinking behavior processes
839,840,Drooling
840,841,Drowsiness
841,842,Drug abuse
842,843,Drug habituation
843,844,Drug Allergy
844,845,Drug toxicity
845,846,Drug Use Disorders
846,847,Dry Eye Syndromes
847,848,Duane Retraction Syndrome
848,849,"Muscular Dystrophy, Duchenne"
849,850,Patent ductus arteriosus
850,851,Dumping Syndrome
851,852,Duodenal Diseases
852,853,Duodenal Neoplasms
853,854,Duodenal Ulcer
854,855,Duodenitis
855,856,Dupuytren Contracture
856,857,Dwarfism
857,858,Pituitary dwarfism
858,859,Dysarthria
859,860,Dysautonomia
860,861,"Dysautonomia, Familial"
861,862,Dyschondroplasias
862,863,Dysentery
863,864,Amebic colitis
864,865,Shigella Infections
865,866,Dysgammaglobulinemia
866,867,Dysganglionosis
867,868,Dysgerminoma
868,869,Dyskinetic syndrome
869,870,"Dyskinesia, Drug-Induced"
870,871,Dysmenorrhea
871,872,Dysostoses
872,873,Dyspareunia (female)
873,874,Dyspepsia
874,875,Dysplastic Nevus Syndrome
875,876,Dyspnea
876,877,"Dyspnea, Paroxysmal"
877,878,Dyssocial Behavior
878,879,Dysthymic Disorder
879,880,Dystonia
880,881,Dystonia Musculorum Deformans
881,882,Dystrophy of vulva
882,883,Dysuria
883,884,Ear Diseases
884,885,Ear Neoplasms
885,886,Earache
886,887,East Coast Fever
887,888,Eating Disorders
888,889,Ebstein Anomaly
889,890,Ecchymosis
890,891,Echinococcosis
891,892,"Echinococcosis, Hepatic"
892,893,"Echinococcosis, Pulmonary"
893,894,Echolalia
894,895,Echovirus Infections
895,896,Eclampsia
896,897,Ecthyma
897,898,"Ecthyma, Contagious"
898,899,Ectodermal Dysplasia
899,900,Ectopia Lentis
900,901,Ectromelia
901,902,Ectropion
902,903,Eczema
903,904,Edema
904,905,"Edema, Cardiac"
905,906,Chylous effusion
906,907,Ehlers-Danlos Syndrome
907,908,Eisenmenger Complex
908,909,Elephantiasis
909,910,Filarial Elephantiases
910,911,"Elliptocytosis, Hereditary"
911,912,Ellis-Van Creveld Syndrome
912,913,Emaciation
913,914,Embolism
914,915,"Embolism, Amniotic Fluid"
915,916,"Embolism, Tumor"
916,917,Embryo Resorption
917,918,Embryopathies
918,919,Emotional Disturbances
919,920,Pathological accumulation of air in tissues
920,921,Empty Sella Syndrome
921,922,Empyema
922,923,"Empyema, Pleural"
923,924,Encephalitis
924,925,Encephalitis Lethargica
925,926,Japanese Encephalitis
926,927,"Encephalomyelitis, Acute Disseminated"
927,928,"Encephalitis, St. Louis"
928,929,Tick-Borne Encephalitis
929,930,Congenital cerebral hernia
930,931,Occipital Encephalocele
931,932,Encephalomalacia
932,933,Encephalomyelitis
933,934,Experimental Autoimmune Encephalomyelitis
934,935,"Leukoencephalitis, Acute Hemorrhagic"
935,936,Venezuelan equine encephalomyelitis
936,937,Enchondromatosis
937,938,Endocardial Cushion Defects
938,939,Endocardial Fibroelastosis
939,940,Endocarditis
940,941,Bacterial Endocarditis
